"","user.self","sys.self","elapsed","user.child","sys.child"
"start",207.584,11.129,6372.047,20.658,3.578
"init001",207.756,11.223,6372.321,20.658,3.578
"prbo001",265.897,11.94,6431.328,20.658,3.578
"sbay001",327.588,12.919,6495.047,20.693,3.666
"bear001",388.537,13.823,6557.611,20.745,3.787
"init002",388.675,13.83,6557.759,20.745,3.787
"prbo002",447.92,14.564,6617.993,20.761,3.839
"sbay002",504.577,15.188,6675.313,20.765,3.844
"bear002",561.649,15.832,6733.102,20.765,3.844
"init003",561.784,15.839,6733.247,20.765,3.844
"prbo003",619.156,16.443,6791.254,20.765,3.844
"sbay003",675.636,17.008,6848.33,20.765,3.844
"bear003",732.432,17.625,6905.773,20.765,3.844
"init004",732.577,17.631,6905.924,20.765,3.844
"prbo004",789.893,18.235,6963.87,20.765,3.844
"sbay004",847.595,18.831,7022.271,20.765,3.844
"bear004",904.617,19.422,7079.93,20.765,3.844
"init005",904.765,19.428,7080.088,20.765,3.844
"prbo005",962.371,20.029,7138.32,20.765,3.844
"sbay005",1018.966,20.61,7195.53,20.765,3.844
"bear005",1075.858,21.159,7253.002,20.765,3.844
"init006",1075.996,21.165,7253.149,20.765,3.844
"prbo006",1134.491,21.807,7312.511,20.765,3.844
"sbay006",1191.086,22.381,7369.709,20.765,3.844
"bear006",1249.574,23.022,7429.312,20.765,3.844
"init007",1249.714,23.051,7429.484,20.765,3.844
"prbo007",1308.013,23.637,7488.462,20.765,3.844
"sbay007",1364.23,24.199,7545.28,20.765,3.844
"bear007",1421.247,24.796,7602.967,20.765,3.844
"init008",1421.381,24.801,7603.108,20.765,3.844
"prbo008",1478.781,25.418,7661.158,20.765,3.844
"sbay008",1534.869,25.976,7717.818,20.765,3.844
"bear008",1590.84,26.565,7774.392,20.765,3.844
"init009",1590.975,26.568,7774.532,20.765,3.844
"prbo009",1647.859,27.173,7832.036,20.765,3.844
"sbay009",1703.709,27.721,7888.476,20.765,3.844
"bear009",1759.373,28.325,7944.773,20.765,3.844
"init010",1759.507,28.329,7944.916,20.765,3.844
"prbo010",1816.333,28.939,8002.365,20.765,3.844
"sbay010",1871.915,29.505,8058.525,20.765,3.844
"bear010",1928.037,30.098,8115.264,20.765,3.844
"end",1928.037,30.099,8115.265,20.765,3.844
